Rec Id,Src Acct Code,Src Acct Desc,Xref Key,Acct Id,Property Id,Property Name,Acct Code,Acct Suffix,Acct Name,Multiplier,Created,Updated
"25,458",AX,PAYMENT AMEX,GstPMSAX,0,1,Marina Beach Motel,,,,-1.00,01/07/2021,10/20/2021
"25,459",DN,PAYMENT DINERS,GstPMSDI,0,6,Sawtooth Inn,,,,-1.00,01/07/2021,10/20/2021
"25,460",DN,PAYMENT DINERS,GstPMSDI,0,1,Marina Beach Motel,,,,-1.00,01/07/2021,10/20/2021
"25,461",JB,PAYMENT JCB,,0,6,Sawtooth Inn,,,,1.00,01/20/2021,10/20/2021
"25,462",DM,PAYMENT VISA/MC,GstPMSMCV,0,6,Sawtooth Inn,,,,-1.00,01/20/2021,10/20/2021
"25,463",X4,PET CHARGE,,332,6,Sawtooth Inn,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,10/20/2021
"25,464",LO,LODGING TAX,,455,6,Sawtooth Inn,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,10/26/2021
"25,465",LO,LODGING TAX,,455,1,Marina Beach Motel,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,10/26/2021
"25,466",RD,RATE DISCOUNT,,216,6,Sawtooth Inn,40110-634,18,Revenue - Direct Booking,1.00,01/07/2021,10/21/2021
"25,467",8G,REFUND AD DINER,GstPMSDI,0,6,Sawtooth Inn,,,,-1.00,01/19/2021,10/21/2021
"25,468",8G,REFUND AD DINER,GstPMSDI,0,1,Marina Beach Motel,,,,-1.00,01/19/2021,10/21/2021
"25,471",DV,DB PAID VS/MC,GstPMSMCV,0,6,Sawtooth Inn,,,,-1.00,01/07/2021,10/21/2021
"25,472",GL CASH & CHECKS REV,GL CASH & CHECKS REV,,0,6,Sawtooth Inn,,,,1.00,03/23/2021,10/21/2021
"25,473",GL CREDIT CARDS REV,GL CREDIT CARDS REV,,0,6,Sawtooth Inn,,,,1.00,03/23/2021,10/21/2021
"25,474",GL DIRECT BILL XFRE REV,GL DIRECT BILL XFRE REV,,0,6,Sawtooth Inn,,,,1.00,03/23/2021,10/21/2021
